ID	YEAR	RA	MRW	MINRW	MAXRW	MRADDIST	CNO	CD	CTA	RCTA	MLA	MINLA	MAXLA	KH	KS	RVGI	RVSF	RGSGV	AOIAR	RAOIAR	CWTPI	CWTBA	CWTLE	CWTRI	CWTTAN	CWTRAD	CWTALL	RTSR	CTSR	DH	DH2	DRAD	DTAN	TB2	CWA	RWD
HOF_FASY_2A_2	2009	0.816	373	229	494	373	1614	1976.88	0.127	15.61	79	5	3496	6.73635E-09	0.008251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.56	20.32	5.73	5.71	NA	NA	NA
HOF_FASY_2A_2	2010	3.133	1411	1390	1459	1794	3598	1148.59	1.248	39.83	347	5	8564	1.78135E-07	0.056866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.34	37.65	10.87	9.54	NA	NA	NA
HOF_FASY_2A_2	2011	2.086	941	920	964	2740	2759	1322.67	0.781	37.44	283	5	5699	7.8114E-08	0.037448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.92	32.75	10.08	9.88	NA	NA	NA
HOF_FASY_2A_2	2012	5.307	2400	2329	2471	5145	7019	1322.51	1.827	34.41	260	5	7826	2.24346E-07	0.042271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.24	33.74	9.52	8.27	NA	NA	NA
HOF_FASY_2A_2	2013	4.378	1984	1912	2027	7126	5721	1306.64	1.520	34.72	266	5	7113	2.00392E-07	0.045768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.03	34.51	9.50	8.23	NA	NA	NA
HOF_FASY_2A_2	2014	1.695	768	739	807	7897	2758	1626.93	0.599	35.35	217	5	6482	6.40089E-08	0.037759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.89	31.17	8.70	8.28	NA	NA	NA
HOF_FASY_2A_2	2015	2.806	1272	1240	1309	9172	3829	1364.34	1.087	38.72	284	5	7218	1.49417E-07	0.053240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.01	35.48	9.85	8.52	NA	NA	NA
HOF_FASY_2A_2	2016	2.447	1110	1072	1153	10279	2846	1162.96	0.938	38.31	329	5	7742	1.30934E-07	0.053504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.94	36.96	10.72	9.39	NA	NA	NA
HOF_FASY_2A_2	2017	1.345	609	584	649	10891	1825	1356.71	0.494	36.71	271	1	6535	5.93835E-08	0.044146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.35	33.92	9.56	8.87	NA	NA	NA
HOF_FASY_2A_2	2018	3.300	1494	1443	1542	12390	3413	1034.39	0.985	29.86	289	5	6819	1.06751E-07	0.032354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.16	33.55	10.62	9.23	NA	NA	NA
